archivo;veredicto;porcentaje;corte_inicio_hz;corte_fin_hz;anchura_hz;caida_db;detalle
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Illuminatae - Tremora Del Terra [1993].flac;LOSSLESS;96;20657;21092;435;26.2;corte abrupto en 20.7 kHz pero con siseo/señal por encima (caída de solo 26 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Illuminatus - Hope (Spicelab Remix) [1994].flac;LOSSLESS;97;20491;21475;984;33.1;corte en 20.5 kHz con transición intermedia (984 Hz) pero sin silencio profundo debajo (caída de 33 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Information Society - Running [1988].flac;LOSSLESS;88;15928;19452;3524;25.8;caída progresiva de 3.5 kHz desde 15.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Infrequent Oscilation - Burning Phibes [1994].flac;LOSSLESS;97;18347;21414;3067;57.3;caída progresiva de 3.1 kHz desde 18.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Infrequent Oscilation - Hihat Escalation [1994].flac;LOSSLESS;92;20321;20338;17;18.9;corte abrupto en 20.3 kHz pero con siseo/señal por encima (caída de solo 19 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Insider & Stephenson - Ckassadandra [1995].flac;LOSSLESS;75;16249;16532;283;29.4;corte abrupto en 16.2 kHz pero con siseo/señal por encima (caída de solo 29 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Instant Zen - Plutonia (Remix) [1994].flac;LOSSLESS;88;16807;19451;2644;44.5;caída progresiva de 2.6 kHz desde 16.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Interactive - Dildo (Interdrive Version) [1992].flac;LOSSLESS;97;18642;21423;2781;55.0;caída progresiva de 2.8 kHz desde 18.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Interactive - Who Is Elvis (Seventy 7 Mix) [1992].flac;LOSSLESS;98;15817;21542;5725;49.6;caída progresiva de 5.7 kHz desde 15.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Interfront - Strange [1990].flac;LOSSLESS;84;14306;18453;4147;24.1;caída progresiva de 4.1 kHz desde 14.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Intrance - Always [1993].flac;LOSSLESS;96;20978;21073;95;23.4;corte abrupto en 21.0 kHz pero con siseo/señal por encima (caída de solo 23 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jam & Spoon - Follow Me [1993].flac;LOSSLESS;98;18228;21629;3401;42.7;caída progresiva de 3.4 kHz desde 18.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jam & Spoon - Right in the Night (Fall in Love with Music) [1993].flac;LOSSLESS;97;19538;21371;1833;33.2;caída progresiva de 1.8 kHz desde 19.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jens - Loops & Tings (Fruit Loops Remix) [1993].flac;LOSSLESS;89;19442;19571;129;17.7;corte abrupto en 19.4 kHz pero con siseo/señal por encima (caída de solo 18 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jens - Loops & Tings (Original) [1993].flac;LOSSLESS;94;17256;20835;3579;36.7;caída progresiva de 3.6 kHz desde 17.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jim Clarke - Qualification (Round 4) [1992].flac;LOSSLESS;98;20333;21589;1256;50.6;caída progresiva de 1.3 kHz desde 20.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jim Clarke - Silverstone [1993].flac;LOSSLESS;78;16870;17233;363;20.5;corte abrupto en 16.9 kHz pero con siseo/señal por encima (caída de solo 20 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Joe Inferno - Tribal Church (Remix) [1992].flac;LOSSLESS;81;17660;17751;91;19.8;corte abrupto en 17.7 kHz pero con siseo/señal por encima (caída de solo 20 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Joe T Vannelli - Play With The Voice In Germany (Paul van Dyk Remix) [1994].flac;LOSSLESS;96;16749;21221;4472;53.7;caída progresiva de 4.5 kHz desde 16.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Joey Beltram - Energy Flash [1990].flac;LOSSLESS;89;18366;19639;1273;32.5;caída progresiva de 1.3 kHz desde 18.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Jones & Stephenson - The First Rebirth [1993].flac;LOSSLESS;97;18029;21328;3299;32.6;caída progresiva de 3.3 kHz desde 18.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Junk Project - Brain Tool [1995].flac;LOSSLESS;98;21186;21524;338;19.4;corte abrupto en 21.2 kHz pero con siseo/señal por encima (caída de solo 19 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\K.R.B. - Mysterious Song [1992].flac;LOSSLESS;98;19440;21526;2086;50.3;caída progresiva de 2.1 kHz desde 19.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\K.R.B. - Sanaa [1991].flac;LOSSLESS;94;15374;20834;5460;40.0;caída progresiva de 5.5 kHz desde 15.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Kee Mo - Visions [1994].flac;LOSSLESS;97;20233;21489;1256;54.2;caída progresiva de 1.3 kHz desde 20.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Kike Boy & Demolition - Basic [1995].flac;LOSSLESS;82;17550;18110;560;30.7;corte abrupto en 17.6 kHz pero con siseo/señal por encima (caída de solo 31 dB) — un códec deja silencio digital, esto es un filtro de conversor
